[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L0541: nFrameNum[69] pstFrameInfo->nFrameNum[80]
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[80] pstFrameInfo->nFrameNum[90]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[90] pstFrameInfo->nFrameNum[101]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[101] pstFrameInfo->nFrameNum[113]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[113] pstFrameInfo->nFrameNum[124]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[124] pstFrameInfo->nFrameNum[135]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[135] pstFrameInfo->nFrameNum[146]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[146] pstFrameInfo->nFrameNum[157]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L0541: nFrameNum[157] pstFrameInfo->nFrameNum[168]
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:03] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[168] pstFrameInfo->nFrameNum[179]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[179] pstFrameInfo->nFrameNum[190]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[190] pstFrameInfo->nFrameNum[201]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[201] pstFrameInfo->nFrameNum[212]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[212] pstFrameInfo->nFrameNum[223]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
